|        x         |        y         |instruction|       out        |  out   |zr |ng |
| 0000000000000000 | 1111111111111111 | 111101010 | 0000000000000000 |      0 | 1 | 0 |
| 0000000000000000 | 1111111111111111 | 111111111 | 0000000000000001 |      1 | 0 | 0 |
| 0000000000000000 | 1111111111111111 | 111111010 | 1111111111111111 |     -1 | 0 | 1 |
| 0000000000000000 | 1111111111111111 | 111001100 | 0000000000000000 |      0 | 1 | 0 |
| 0000000000000000 | 1111111111111111 | 111110000 | 1111111111111111 |     -1 | 0 | 1 |
| 0000000000000000 | 1111111111111111 | 111001101 | 1111111111111111 |     -1 | 0 | 1 |
| 0000000000000000 | 1111111111111111 | 111110001 | 0000000000000000 |      0 | 1 | 0 |
| 0000000000000000 | 1111111111111111 | 111001111 | 0000000000000000 |      0 | 1 | 0 |
| 0000000000000000 | 1111111111111111 | 111110011 | 0000000000000001 |      1 | 0 | 0 |
| 0000000000000000 | 1111111111111111 | 111011111 | 0000000000000001 |      1 | 0 | 0 |
| 0000000000000000 | 1111111111111111 | 111110111 | 0000000000000000 |      0 | 1 | 0 |
| 0000000000000000 | 1111111111111111 | 111001110 | 1111111111111111 |     -1 | 0 | 1 |
| 0000000000000000 | 1111111111111111 | 111110010 | 1111111111111110 |     -2 | 0 | 1 |
| 0000000000000000 | 1111111111111111 | 111000010 | 1111111111111111 |     -1 | 0 | 1 |
| 0000000000000000 | 1111111111111111 | 111010011 | 0000000000000001 |      1 | 0 | 0 |
| 0000000000000000 | 1111111111111111 | 111000111 | 1111111111111111 |     -1 | 0 | 1 |
| 0000000000000000 | 1111111111111111 | 111000000 | 0000000000000000 |      0 | 1 | 0 |
| 0000000000000000 | 1111111111111111 | 111010101 | 1111111111111111 |     -1 | 0 | 1 |
| 0000000000000000 | 1111111111111111 | 100000000 | 1111111111111111 |     -1 | 0 | 1 |
